received_at,session,participant,event_time,rel_ms,view,event,props,user_agent
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254014632,view-home,idle,"{""view"":""view-home"",""ms"":8089}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254022744,view-home,idle,"{""view"":""view-home"",""ms"":8109}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256047276,view-home,idle,"{""view"":""view-home"",""ms"":8112}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254030814,view-home,idle,"{""view"":""view-home"",""ms"":8066}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256055349,view-home,idle,"{""view"":""view-home"",""ms"":8073}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256063439,view-home,idle,"{""view"":""view-home"",""ms"":8089}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms94cu2pzv6uf,P2,8/3/2026,258695402,view-condition,idle,"{""view"":""view-condition"",""ms"":59981}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254038907,view-home,idle,"{""view"":""view-home"",""ms"":8090}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254046982,view-home,idle,"{""view"":""view-home"",""ms"":8069}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256071512,view-home,idle,"{""view"":""view-home"",""ms"":8072}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264182948,view-home,idle,"{""view"":""view-home"",""ms"":8081}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264191019,view-home,idle,"{""view"":""view-home"",""ms"":8069}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264199111,view-home,idle,"{""view"":""view-home"",""ms"":8089}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264207229,view-home,idle,"{""view"":""view-home"",""ms"":8115}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264215324,view-home,idle,"{""view"":""view-home"",""ms"":8092}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264223403,view-home,idle,"{""view"":""view-home"",""ms"":8076}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264231488,view-home,idle,"{""view"":""view-home"",""ms"":8083}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264239595,view-home,idle,"{""view"":""view-home"",""ms"":8104}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264247694,view-home,idle,"{""view"":""view-home"",""ms"":8097}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264255800,view-home,idle,"{""view"":""view-home"",""ms"":8104}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264263917,view-home,idle,"{""view"":""view-home"",""ms"":8115}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264272035,view-home,idle,"{""view"":""view-home"",""ms"":8116}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264280134,view-home,idle,"{""view"":""view-home"",""ms"":8096}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264288236,view-home,idle,"{""view"":""view-home"",""ms"":8098}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264296307,view-home,idle,"{""view"":""view-home"",""ms"":8067}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264304369,view-home,idle,"{""view"":""view-home"",""ms"":8060}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264312471,view-home,idle,"{""view"":""view-home"",""ms"":8099}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264320539,view-home,idle,"{""view"":""view-home"",""ms"":8064}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264328662,view-home,idle,"{""view"":""view-home"",""ms"":8120}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264336746,view-home,idle,"{""view"":""view-home"",""ms"":8081}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264344809,view-home,idle,"{""view"":""view-home"",""ms"":8060}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264352901,view-home,idle,"{""view"":""view-home"",""ms"":8089}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264361015,view-home,idle,"{""view"":""view-home"",""ms"":8110}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264369191,view-home,idle,"{""view"":""view-home"",""ms"":8174}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264377263,view-home,idle,"{""view"":""view-home"",""ms"":8069}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264385400,view-home,idle,"{""view"":""view-home"",""ms"":8134}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
